City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Belmonte,BR,72.0,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
442,Lebanon,US,71.47,overcast clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
451,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
456,Itaborai,BR,71.17,clear sky,-22.7444,-42.8594,Promenade Prime Itaboraí
458,Ughelli,NG,74.95,overcast clouds,5.4899,6.0074,Prestige Hotel
460,Mitsamiouli,KM,78.42,light rain,-11.3847,43.2844,Foyer ADM
466,Jining,CN,79.2,scattered clouds,35.405,116.5814,Yunhe Star Hotel
468,Dhidhdhoo,MV,83.28,overcast clouds,6.8833,73.1,Dhidhoo beach
470,Nago,JP,74.25,light rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
471,Silver City,US,77.68,clear sky,32.7701,-108.2803,Copper Manor Motel
473,Lazaro Cardenas,MX,81.14,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
474,Baiquan,CN,71.15,scattered clouds,47.5833,126.0833,Wenxin Home Leisure Express Hotel
476,Plaster Rock,CA,70.32,overcast clouds,46.9065,-67.39,Settler's Inn and Motel
477,Takoradi,GH,74.34,overcast clouds,4.8845,-1.7554,Raybow International Hotel
480,Padang,ID,71.65,overcast clouds,-0.9492,100.3543,Mercure Padang
484,Tongliao,CN,77.04,broken clouds,43.6125,122.2653,Meirujia Hotel
486,Bawku,GH,82.11,overcast clouds,11.0616,-0.2417,Ultimate Guest House
491,Sharjah,AE,80.89,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
494,Manjeshwar,IN,76.15,overcast clouds,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
495,Sri Aman,MY,77.09,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
497,Kokopo,PG,83.61,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
500,Harrison,US,76.05,light rain,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
501,Manohar Thana,IN,84.63,clear sky,24.24,76.8018,GEETA SADAN
502,Karachi,PK,84.02,broken clouds,24.9056,67.0822,Sadaat
503,Qinhuangdao,CN,78.8,broken clouds,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
512,Puri,IN,77.52,light rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
515,Angoche,MZ,74.03,clear sky,-16.2325,39.9086,Guest House HESADA
516,Saint-Francois,FR,71.04,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
520,Cozumel,MX,83.95,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
524,Tadepallegudem,IN,84.83,few clouds,16.8333,81.5,Hotel Selection Grand
526,Correntina,BR,70.84,few clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
534,Matoury,GF,82.02,broken clouds,4.8483,-52.3317,Hôtel La Marmotte
540,Ntoum,GA,74.14,scattered clouds,0.3833,9.7833,Hôtel Santa Barbara
541,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
