City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,Yumen,40.2833,97.2,61.0,38,22,15.75,CN,2022-05-22 21:50:13
197,Portland,45.5234,-122.6762,75.74,34,75,5.75,US,2022-05-22 21:46:15
198,Saint-Philippe,-21.3585,55.7679,67.59,73,40,10.69,RE,2022-05-22 21:50:15
199,Buala,-8.145,159.5921,83.32,73,15,5.73,SB,2022-05-22 21:50:15
200,Kloulklubed,7.0419,134.2556,82.6,77,100,9.42,PW,2022-05-22 21:50:16
201,Port Lincoln,-34.7333,135.8667,59.61,78,90,9.57,AU,2022-05-22 21:45:18
202,Bubaque,11.2833,-15.8333,78.35,75,45,15.39,GW,2022-05-22 21:41:13
203,Nizhniy Odes,63.6445,54.856,31.8,98,100,10.02,RU,2022-05-22 21:50:18
204,Shingu,33.7333,135.9833,69.84,65,1,4.12,JP,2022-05-22 21:50:18
205,Am Timan,11.0297,20.2827,90.97,28,68,3.15,TD,2022-05-22 21:50:18
206,Sipe Sipe,-17.45,-66.3833,72.09,21,8,4.14,BO,2022-05-22 21:50:19
207,Callaway,30.153,-85.5699,73.33,78,100,29.93,US,2022-05-22 21:50:20
208,Nsanje,-16.92,35.262,70.45,81,4,3.2,MW,2022-05-22 21:50:20
209,Yatou,37.15,122.3833,65.07,66,63,7.47,CN,2022-05-22 21:50:21
210,Odweyne,9.4092,45.064,78.08,49,98,8.95,SO,2022-05-22 21:50:22
211,Ternate,0.8,127.4,80.01,80,100,4.12,ID,2022-05-22 21:50:22
212,Kutum,14.2,24.6667,76.69,19,42,5.79,SD,2022-05-22 21:50:22
213,Sambava,-14.2667,50.1667,71.69,87,20,9.86,MG,2022-05-22 21:50:23
214,Mount Isa,-20.7333,139.5,62.37,77,1,8.05,AU,2022-05-22 21:50:23
215,Salta,-24.7859,-65.4117,66.79,45,0,10.36,AR,2022-05-22 21:50:23
216,San Patricio,28.017,-97.5169,85.17,58,100,12.19,US,2022-05-22 21:50:24
217,Myitkyina,25.3833,97.4,71.1,98,44,2.33,MM,2022-05-22 21:50:25
218,Venado Tuerto,-33.7456,-61.9688,61.77,52,12,11.52,AR,2022-05-22 21:50:26
219,Aksu,41.1231,80.2644,76.77,22,100,17.36,CN,2022-05-22 21:50:26
220,Gat,31.61,34.7642,66.88,100,0,10.33,IL,2022-05-22 21:50:26
221,Almeirim,-1.5233,-52.5817,78.82,75,60,2.59,BR,2022-05-22 21:50:27
222,Kaduna,10.5222,7.4383,77.49,60,92,4.0,NG,2022-05-22 21:50:04
223,Saint George,37.1041,-113.5841,87.64,11,0,11.5,US,2022-05-22 21:48:35
224,Faya,18.3851,42.4509,69.91,27,0,1.28,SA,2022-05-22 21:50:27
